review_id,review_title,review_text,is_a_buyer,brand_name,product_title,avg_product_rating,price,processed_review
21401840,Good one,I love it prefect for winter. It's not that good a coverage,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,prefect winter coverage
21427270,Super good,It perfectly matches my skin tone and is very light weight. Loved it !!,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,perfectly matches tone light weight
21444874,Foundation,Mild in texture god for daily use,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,mild texture god daily
21481960,Foundation,Amazing product! Feels really light on skin,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,feels light
21512958,Kay foundation,105y light foundation is for fair n warm skin tone....it glides easily on face with full coverage...never thought will buy Kay product but it's awesome,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,light foundation fair warm tone glides easily face full coverage thought kay awesome
21515551,Amazing Finish... loved the glow & hydration it brings to the face,Amazing foundation.. gives a hydrated and glowing look which is amazing and within this price range is just something you don't wanna miss ..It's a great deal just go for it .. highly highly recommended...,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,foundation hydrated glowing price range wanna miss deal highly highly recommended
21521761,👌🏾,It glides on skin .. matches my skin tone .. very nice formula ..,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,glides matches tone formula
21531291,Very hydrating foundation,Good for dry skin type. Good blending impact..,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,dry type blending impact
21543982,145N,Best foundation for daily uses,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,foundation daily
21558643,Amazing product,It's so easy to blend. Very beautiful formula... doesn't feel caky at all.... beautiful finish looks so natural like your own skin,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,blend formula feel caky finish natural
21596521,Lightest,So light and giving you dew look. Very small quantity is needed. Go for it. And has more shades than any brands have,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,light giving dew small quantity needed shades brands
21610414,Very good,This is my second bottle. This product is really good and hydrating. No cakey makeup. Love it!!,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,bottle hydrating cakey makeup
21611643,Just wow...,I have used so many foundations but this one is just amazing...it is so good... it blends too good and it gives a smooth and dewy look which I always try to achieve...in love with this product...,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,foundations blends dewy achieve
19566980,Kay beauty foundation,"Feels so light on skin, smooth texture, blends so easy in few lil drops is just enough for your go to everyday makeup no makeup look, I highly recommend this product, this product is beyond my expectation. You must try it, n i am ll be obsessed. Thank you nykaa for delivering authentic beauty products.",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,feels light texture blends lil drops everyday makeup makeup highly recommend expectation ll obsessed delivering authentic beauty products
19563332,"Don’t think twice, go ahead and buy it","I love the lightweight formula of this foundation. And it blends so well into the skin, that it doesn’t look like you’re wearing any make-up. I went for the medium-yellow undertone because I have some areas that are hyperpigmented and my undertone is yellow.",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,lightweight formula foundation blends doesn wearing make-up undertone areas hyperpigmented undertone yellow
19561013,As expected,The best foundation till day Have been using from last 4days....It's so light weight and nice coverage as I have light pinkish skin tone with dry skin..it suits me very well...but for oily skin people ..must choose carefully... Happy 😊enough,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,foundation till day days light weight coverage light pinkish tone dry suits oily people choose carefully happy
17279758,Wow,Honestly a expensive bb cream,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,honestly expensive bb cream
17303043,Excellent coverage,This has excellent coverage and gives natural looking skin,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,excellent coverage natural
17304435,It can beat any high end foundation!!!,"What a lovely foundation !! Just perfectly hydrating neither dewy neither matte , just a perfect balance of both ! So so so longwearing , it remained as it is for whole day on me which is incredible!! Shade range is commendable!! I have nothing negative to say about it at all !! Must must must buy !! Greattttt job Kay beauty!! ❤️",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,lovely foundation perfectly hydrating dewy matte balance remained day incredible range commendable negative job kay beauty
17320662,Blends beautifully,"The product is amazing and i found my perfect match. . I'm NC 44.5. Its super hydrating and weightless , very breathable . Would be great for dry skin and day to day use.",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,found match nc super hydrating weightless breathable dry day day
17346585,Skin like,"If there would have been more stars i would given have to this foundation. This is such a beauty on its own, skin like breathable foundation. I wanted to buy a new foundation and this released i was spectical at buying this first as it’s a hydrating foundation & i have oily skin but i wore it yesterday and omg it was beauty . It’s your second skin. A good lightweight foundation",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,stars foundation beauty breathable foundation wanted foundation released buying hydrating foundation oily wore yesterday omg beauty lightweight foundation
17352219,Dewy look,Beautiful dewy finish and is long lasting. Doesn't look fake. Looks like your skin but much better.,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,dewy finish lasting fake
17362820,Mind blowing,I purchased 170y shade of kay beauty foundation it's great buy it is very easy to choose our shade I bought many foundation online but this is the first time i m not confused choose to right shade for me great i m satisfied,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,purchased kay beauty foundation choose bought foundation online confused choose satisfied
17364873,120 yellow 🟡,"Nicely blendable foundation it's give dewy finish, it spreads so smoothly lightweight summer perfect for my yellow undertone I choose 120y light and it matches with my tone perfectly",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,nicely blendable foundation give dewy finish spreads smoothly lightweight summer yellow undertone choose light matches tone perfectly
17369304,Love it,Love Love Love it . Its perfect shade and the best part is that it is waterproof. I always struggled with the perfect shade for foundation alas i got it and just am in love with this. Gives very natural look and dsnt feel cakey atall. Though felt a bit high in rate before but after using it dont feel so... Overall loved it.,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,part waterproof struggled foundation alas natural dsnt feel cakey atall felt bit high rate dont feel
17370150,130Y for nc37-nc40,I watched beautico s review and bought the tan Y shade she mentioned but it was totally off and very dark. I decided to go up a shade and presto!it was a perfect match! It is more like a BB cream in terms of coverage which I loved! It is buildable and looks very natural. Overall I would say this shade 130Y will work for nc37-nc40 skin tones quite well as the coverage is not too heavy. I hope this review helps the women out there who are struggling to figure out their shade. Kay beauty has hit it out of the park with this product. Fantastic quality.,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,watched review bought tan mentioned totally dark decided match bb cream terms coverage buildable natural work nc nc tones coverage heavy hope review helps women struggling figure kay beauty hit park fantastic quality
17370194,Not the best shade,Product is amazing! But I ordered the wrong shade sadly. I loved the finish so much I ordered another in the right shade for myself,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,ordered wrong sadly finish ordered
17373178,155Y Tan,"What a foundation gurllll! It was fortunately my mom's exact shade! And the texture is gorgeous whoaaa! We are in love. Hats off Kay Beauty! 👏 So much love to you guys who formulated it, and thanks to Nykaa for bringing in this beauty! ❤",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,foundation fortunately mom's exact texture gorgeous hats kay beauty guys formulated bringing beauty
17385090,Superb,It perfectly matched my skin shade..and its too hydrating and it gives dewy bright look.,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,perfectly matched hydrating dewy bright
17392803,beautiful shade and light weight,perfect for mac nc 30... also neutral undertones ..and sunbeige in maybelline superstay.its a neutral shade but it suits the above shades.,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,mac nc neutral undertones sunbeige maybelline superstay neutral suits shades
17402996,105Y Light,"Just like your second Skin!! Very Light in weight and u feel as if nothing has been applied. Has Sheer coverage which is buildable but Only people with very heavy acne, scares & blemishes may find it difficult to use this one.. One of the Best Foundation in Affordable Range.. Thank you Kay Beauty & Nykaa for this Fantabulous Product.. 105 Y Light is PERFECT for people with Yellow Undertones and unlike other foundations this one isn’t Too much of Yellow but is a subtle one. Definitely Worth Trying.. !!",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,light weight feel applied sheer coverage buildable people heavy acne scares blemishes find difficult foundation affordable range kay beauty fantabulous light people yellow undertones unlike foundations isn yellow subtle worth
17405582,Katrina Kaif ❤️,This foundation merge like a butter no brushes needed..😁 this foundation look give more compliments for me tq katrina ❤️ I luv u so much,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,foundation merge butter brushes needed foundation give compliments tq katrina luv
17407194,Amazing,"Ok so I m writing this review with lots of love for Katrina and nykaa for introducing this brand to us ...so far I have been loving everything I got from kaybeauty.. Coming to the foundation ...the finish is very similar to physician formula's foundation minus the bad smell of PF.. Its perfect for no make up make up look ...n I dont like matt cakey foundation looks ...125 y is a dead on match for me ... For reference my maybelline fit me shade is : 220 , estee Lauder: 3w1.5 fawn, mac : nc 30 . Hope this helps",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,writing review lots katrina introducing brand loving kaybeauty coming foundation finish similar foundation minus bad smell pf make make dont matt cakey foundation dead match reference maybelline fit estee lauder fawn mac nc hope helps
17413814,Best foundation ever,Purchased this at Nykaa store and fell in love with this product will definitely recommend this to everyone,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,purchased store fell recommend
17414320,live up to its expectations,"first of all its really easy to find your shade at Kay Beauty because it has a well described complexion and tone scaler. the best part is the dewy finish super blendable texture and a non transferable and non oxidisable formula. since i have a fair skin with warm undertone this shade suits me better and prima facie it didnt feel i had any foundation on my face, it was just my skin but better. a little on the pricier side but since foundations are a long term item so sort of compromisable on that part. if u are someone looking for a light to medium coverage with a dewy finish then you now know where u need to splurge on.",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,find kay beauty complexion tone part dewy finish super blendable texture transferable formula fair warm undertone suits didnt feel foundation face pricier side foundations term item sort part light medium coverage dewy finish splurge
17427881,Nice,One of best foundations for indian skin,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,foundations indian
17459517,A must buy,Kay beauty is an absolute perfect foundation. It blends into your skin tone perfectly considering you buy a right shade.,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,kay beauty absolute foundation blends tone perfectly
17461178,Found the PERFECT foundation❤️❤️❤️,"Its so lightweight and dewy, makes your skin glow 💕 A big thanks to Kay beauty for this awesome foundation, will definitely repurchase♥️ I am 128 warm nude in Maybelline fit me foundation <3",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,lightweight dewy makes glow big kay beauty awesome foundation repurchase warm nude maybelline fit foundation
17508674,OMG in love with Kay Beauty products again,I have got every product under Kay Beauty ..never thought that i wouldnt be able to resist buying each category from this brand....one brand that i trust the most these days in compared to others in the cosmetics market. Really a big Hats 🧢 Off to Katrina for making sure that the quality doesn't go down at all with any launched till date under Kay Beauty. Love you always Kay Beauty ..hope u keep up the awesome quality always n not too high prices coz then we can buy more n more :).. Thank you a bunch :),True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,kay beauty thought wouldnt resist buying category brand brand trust days compared cosmetics market big hats katrina making quality launched till date kay beauty kay beauty hope awesome quality high prices coz bunch
17521420,Happy days,So hydrating and quite satisfactory coverage. It doesn’t feel cakey and hasn’t been a problem on very hot days.,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,hydrating satisfactory coverage doesn feel cakey hasn problem hot days
17302310,Really good,"Thin foundation and midium coverage ,it's good for dry skin, amazing moziter look",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,thin foundation midium coverage dry
17279046,Exact shade,"Great job kat. Damn easy to find the shade. With other companies, its so hard. I always wanted deeyfinish and you heard it right. Love love love. Great going. Please launch more and soon.",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,job kat damn find companies hard wanted heard launch
19555896,ITS A GOOD FOUNDATION!,It gives a natural skin like finish.,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,natural finish
17437998,Versetile foundation,"This is a foundation that gives coverage based on the tools and primer you use, i used a sponge which gives a light cover, with brush which gives a good medium cover. When i used a hydrating primer the coverage was low medium, when I used a thicker pore filling primer it gave a high medium cover. It is liquidy, does not sit in pores and did not emphasise my flaky chin area. Did not oxadise on me. Lasts for a good 5/6 hrs in cool weather. I dnt think it will work well in hot summers. Even thou its a hydrating formula its not really illuminating as such which is a plus! Works great with powder products and doesnt cake up. Attaching pics of my fav foundis for comparision. In order pics are taken in artificial light, day light and last one with a flash. Shade 125y is more peachy than yellow. For reference I'm mac nc30. Hope this helps!",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,foundation coverage based tools primer sponge light cover brush medium cover hydrating primer coverage low medium thicker pore filling primer gave high medium cover liquidy sit pores emphasise flaky chin area lasts hrs cool weather dnt work hot summers thou hydrating formula illuminating works powder products doesnt cake attaching pics fav comparision order pics artificial light day light flash peachy yellow reference mac nc hope helps
21238313,Decent Coverage,I like this one has decent buildable coverage. But it is not that hydrating it gets matte after half an hour of application. It has yellow undertones which helps in cancelling the pigmentation on the face. Very skin like finish people who want good coverage can avoid this foundation as it has very light to medium Coverage.,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,decent buildable coverage hydrating matte half hour application yellow undertones helps cancelling pigmentation face finish people coverage avoid foundation light medium coverage
22703336,Amazing product 🙂,I was looking good foundation for my skin tone but I did not find anyone....since last 2 years...but i use almost all the brand products...but did not get good results...but after that I saw review of all of u guys..then first time I scared but i believed all of u guys review and going forward...today I have Kay foundation n loose powder i can't imagine that is wonderful...i m using this ...nd wonderful result of it...bcoz my skin is little dull nd very dry..my skin suits the 130Y Medium...thank nayka n spsly Kay beauty for their wonderful product thanks again😊but foundation is costly...so I m giving the 4 star🙂,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,foundation tone find years brand products results review guys scared believed guys review forward today kay foundation loose powder imagine wonderful wonderful result bcoz dull dry suits medium nayka kay beauty wonderful foundation costly giving star
23957115,Best product,Nice blending Foundation and good quality 👍🏻,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,blending foundation quality
27238272,Good foundation to use often,"I liked this foundation. Only concern is that the shade didn't match. Even though I picked a Yellow marked number - 125Y, it turned out to be more neutral - whitish shade. I have put photos for reference. Otherwise it doesn't make skin oily, as i have oily skin. It is a good medium coverage foundation. Doesn't make the face look too made up. Provided the right shade is applied. So my hunt for that right match medium coverage foundation continues.",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,foundation concern match picked yellow marked number turned neutral whitish put photos reference make oily oily medium coverage foundation make face made provided applied hunt match medium coverage foundation continues
29547303,Foundation,Awesome👏,True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,awesome
17330204,Great everyday wear foundation,"It’s very comfortable on the skin , stays for a long time in place , dewy . It is not a full coverage foundation so don’t expect it to cover all your blemishes and marks but it is a good everyday wear . The drawback is that 155Y did not perfectly match my NC40-42 skin tone . It’s too yellow for me !!! It’s dark for NC40 definitely but if matched properly , the texture is brilliant I wish I could get more clarity on shade range .",True,Kay Beauty,Kay Beauty Hydrating Foundation,4.4,900,comfortable stays place dewy full coverage foundation don expect cover blemishes marks everyday wear drawback perfectly match nc tone yellow dark nc matched properly texture brilliant clarity range
